date,description,amount
2026-01-05 10:30,Swiggy Order,349
2026-01-05 23:45,Amazon Shopping,1299
2026-01-07 12:15,Zomato Food Delivery,189
2026-01-08 14:00,Netflix Subscription,649
2026-01-10 09:00,Petrol Fill,2500
2026-01-10 00:30,Flipkart Order,899
2026-01-12 11:00,Spotify Premium,119
2026-01-12 19:30,Swiggy Order,245
2026-01-14 10:00,Electricity Bill,3200
2026-01-15 13:00,Zomato Food Delivery,320
2026-01-16 23:15,Amazon Shopping,499
2026-01-18 16:00,Uber Ride,180
2026-01-19 12:00,Dominos Pizza,450
2026-01-20 01:00,Myntra Shopping,1599
2026-01-22 10:30,Netflix Subscription,649
2026-01-23 14:00,Swiggy Order,275
2026-01-25 09:00,Airtel Recharge,599
2026-01-26 20:00,KFC Order,380
2026-01-27 11:00,Spotify Premium,119
2026-01-28 23:50,Amazon Shopping,2199
2026-01-30 10:00,Society Maintenance,5000
2026-02-01 09:30,Zomato Food Delivery,210
2026-02-02 12:00,Swiggy Order,315
2026-02-03 14:00,Netflix Subscription,649
2026-02-04 00:15,Flipkart Order,1899
2026-02-05 16:30,Uber Ride,220
2026-02-06 11:00,Spotify Premium,119
2026-02-07 19:00,Starbucks Coffee,450
2026-02-08 10:00,Electricity Bill,2800
2026-02-09 13:00,Zomato Food Delivery,195
2026-02-10 23:30,Amazon Shopping,799
2026-02-12 12:00,Swiggy Order,410
2026-02-14 14:00,Ajio Shopping,2499
2026-02-15 01:45,Dominos Pizza,520
2026-02-16 10:00,Petrol Fill,2200
2026-02-17 11:00,Nykaa Order,680
2026-02-18 09:00,Airtel Recharge,599
2026-02-19 15:00,Ola Ride,150
2026-02-20 20:00,Zomato Food Delivery,340
2026-02-21 10:30,Netflix Subscription,649
2026-02-22 12:00,Swiggy Order,290
2026-02-24 23:00,Amazon Shopping,3499
2026-02-25 11:00,Spotify Premium,119
2026-02-26 14:00,KFC Order,420
2026-02-28 10:00,Society Maintenance,5000
2026-03-01 09:00,Swiggy Order,355
2026-03-02 12:30,Zomato Food Delivery,225
2026-03-03 14:00,Netflix Subscription,649
2026-03-04 00:30,Flipkart Order,1299
2026-03-05 11:00,Spotify Premium,119
2026-03-06 16:00,Uber Ride,310
2026-03-07 10:00,Electricity Bill,3100
2026-03-08 19:00,Cafe Coffee Day,280
2026-03-09 13:00,Swiggy Order,190
2026-03-10 23:15,Amazon Shopping,1599
2026-03-12 10:00,Petrol Fill,2400
2026-03-14 12:00,Zomato Food Delivery,360
2026-03-15 14:00,Meesho Shopping,899
2026-03-16 01:00,Dominos Pizza,475
2026-03-17 11:00,YouTube Premium,129
2026-03-18 09:00,Airtel Recharge,599
2026-03-19 15:00,Rapido Ride,85
2026-03-20 20:00,Swiggy Order,440
2026-03-21 10:30,Netflix Subscription,649
2026-03-22 12:00,Zomato Food Delivery,195
2026-03-24 23:45,Amazon Shopping,2899
2026-03-25 11:00,Spotify Premium,119
2026-03-26 14:00,Burger King,350
2026-03-28 10:00,Society Maintenance,5000
2026-03-30 12:00,Swiggy Order,265
