date,description,amount
2025-03-01,Freelance Gig,769.55
2025-03-02,Freelance Gig,782.96
2025-03-02,Car Wash,-68.74
2025-03-03,Gas Station,-33.37
2025-03-04,Movie Tickets,-75.4
2025-03-06,Gym Membership,-29.19
2025-03-07,Car Wash,-12.89
2025-03-07,Electric Bill,-62.01
2025-03-08,Freelance Gig,218.21
2025-03-08,Gym Membership,-98.8
2025-03-08,Freelance Gig,442.2
2025-03-10,Grocery Store,-39.74
2025-03-12,Online Subscription,-13.88
2025-03-13,Grocery Store,-75.57
2025-03-15,Gym Membership,-7.45
2025-03-17,Car Wash,-96.85
2025-03-18,Pharmacy,-7.53
2025-03-20,Internet Bill,-69.82
2025-03-20,Movie Tickets,-42.03
2025-03-22,Rent Payment,-1200.0
2025-03-22,Grocery Store,-92.29
2025-03-23,Dining Out,-68.82
2025-03-24,Coffee Shop,-54.12
2025-03-25,Dining Out,-33.96
2025-03-26,Pet Supplies,-5.4
2025-03-27,Gas Station,-96.71
2025-03-27,Grocery Store,-76.21
2025-03-28,Coffee Shop,-26.78
2025-03-30,Coffee Shop,-21.79
2025-03-31,Electric Bill,-22.99
