date,description,amount
2025-01-01,Dining Out,-105.13
2025-01-01,Rent Payment,-1500.0
2025-01-01,Electricity Bill,-144.31
2025-01-02,Movie Theater,-20.68
2025-01-02,Electricity Bill,-106.12
2025-01-02,Pet Supplies,-43.47
2025-01-04,Pet Supplies,-67.2
2025-01-04,Online Shopping,-124.6
2025-01-05,Gas Station,-38.13
2025-01-05,Pharmacy,-38.37
2025-01-05,Monthly Salary,4200.0
2025-01-05,Pet Supplies,-79.18
2025-01-10,Grocery Store,-104.66
2025-01-10,Electricity Bill,-139.31
2025-01-12,Grocery Store,-90.1
2025-01-12,Movie Theater,-16.77
2025-01-12,Internet Service,-75.0
2025-01-15,Coffee Shop,-9.48
2025-01-15,Gym Membership,-55.0
2025-01-19,Pharmacy,-15.06
2025-01-19,Electricity Bill,-156.18
2025-01-23,Coffee Shop,-7.87
2025-01-23,Coffee Shop,-7.47
2025-01-23,Movie Theater,-36.6
2025-01-26,Gas Station,-36.01
2025-01-26,Pharmacy,-40.64
2025-01-26,Gas Station,-50.94
2025-01-29,Pharmacy,-40.83
2025-01-31,Rent Payment,-1500.0
2025-02-02,Coffee Shop,-5.94
2025-02-04,Monthly Salary,4200.0
2025-02-07,Pet Supplies,-44.25
2025-02-07,Coffee Shop,-8.93
2025-02-11,Internet Service,-75.0
2025-02-11,Dining Out,-78.03
2025-02-11,Coffee Shop,-11.43
2025-02-11,Gas Station,-35.4
2025-02-14,Dining Out,-76.75
2025-02-14,Pet Supplies,-67.8
2025-02-14,Gym Membership,-55.0
2025-02-16,Electricity Bill,-111.93
2025-02-16,Electricity Bill,-114.78
2025-02-26,Movie Theater,-31.71
2025-02-26,Coffee Shop,-6.78
2025-02-27,Grocery Store,-70.24
2025-02-27,Pharmacy,-36.0
2025-02-28,Gas Station,-42.41
2025-02-28,Movie Theater,-21.76
2025-03-02,Rent Payment,-1500.0
2025-03-03,Online Shopping,-82.27
2025-03-03,Grocery Store,-137.95
2025-03-03,Pet Supplies,-59.15
2025-03-06,Gas Station,-50.53
2025-03-06,Monthly Salary,4200.0
2025-03-06,Pet Supplies,-52.96
2025-03-06,Online Shopping,-114.64
2025-03-07,Online Shopping,-100.05
2025-03-07,Coffee Shop,-6.78
2025-03-08,Pet Supplies,-75.54
2025-03-11,Dining Out,-60.68
2025-03-11,Pharmacy,-35.57
2025-03-11,Gas Station,-54.4
2025-03-13,Dining Out,-53.24
2025-03-13,Internet Service,-75.0
2025-03-15,Electricity Bill,-139.74
2025-03-15,Movie Theater,-22.19
2025-03-15,Dining Out,-41.52
2025-03-16,Gym Membership,-55.0
2025-03-17,Online Shopping,-177.38
2025-03-20,Pet Supplies,-66.92
2025-03-20,Movie Theater,-37.97
2025-03-20,Grocery Store,-149.2
2025-03-21,Coffee Shop,-11.31
2025-03-21,Online Shopping,-135.54
2025-03-21,Electricity Bill,-116.98
2025-03-22,Movie Theater,-18.81
2025-03-23,Gas Station,-49.97
2025-03-23,Dining Out,-95.02
2025-03-23,Movie Theater,-36.78
2025-03-27,Grocery Store,-103.03
2025-03-27,Gas Station,-35.1
2025-03-27,Dining Out,-64.93
2025-03-31,Pet Supplies,-33.81
2025-03-31,Movie Theater,-35.37
2025-04-01,Rent Payment,-1500.0
2025-04-03,Electricity Bill,-109.49
2025-04-03,Dining Out,-39.19
2025-04-05,Pharmacy,-34.65
2025-04-05,Monthly Salary,4200.0
2025-04-05,Electricity Bill,-120.3
2025-04-05,Online Shopping,-159.07
2025-04-07,Electricity Bill,-92.53
2025-04-12,Internet Service,-75.0
2025-04-12,Online Shopping,-138.58
2025-04-12,Pet Supplies,-41.24
2025-04-15,Gym Membership,-55.0
2025-04-15,Pet Supplies,-23.27
2025-04-17,Pet Supplies,-30.74
2025-04-20,Pet Supplies,-50.43
2025-04-21,Dining Out,-38.62
2025-04-24,Dining Out,-62.55
2025-04-24,Grocery Store,-53.48
2025-04-24,Movie Theater,-30.28
2025-04-28,Gas Station,-47.74
2025-04-29,Coffee Shop,-4.1
2025-04-29,Pharmacy,-44.6
2025-04-29,Movie Theater,-23.07
2025-05-01,Rent Payment,-1500.0
2025-05-02,Dining Out,-96.43
